GO:0000005	obsolete ribosomal chaperone activity
GO:0051074	obsolete protein tetramerization activity
GO:0051075	S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity
GO:0051082	unfolded protein binding
GO:0051087	chaperone binding
GO:0051108	carnitine-CoA ligase activity
GO:0051109	crotonobetaine-CoA ligase activity
GO:0051116	cobaltochelatase activity
GO:0051117	ATPase binding
GO:0051118	glucan endo-1,3-alpha-glucosidase activity
GO:0051119	sugar transmembrane transporter activity
GO:0051120	hepoxilin A3 synthase activity
GO:0051139	metal ion:proton antiporter activity
GO:0051184	cofactor transmembrane transporter activity
GO:0051185	coenzyme transmembrane transporter activity
GO:0051192	prosthetic group binding
GO:0051212	vanadium ion binding
GO:0051213	dioxygenase activity
GO:0051219	phosphoprotein binding
GO:0051264	mono-olein transacylation activity
GO:0051265	diolein transacylation activity
GO:0051266	sirohydrochlorin ferrochelatase activity
GO:0051267	CP2 mannose-ethanolamine phosphotransferase activity
GO:0051268	alpha-keto amide reductase activity
GO:0051269	alpha-keto ester reductase activity
GO:0051287	NAD binding
GO:0051370	obsolete ZASP binding
GO:0051371	muscle alpha-actinin binding
GO:0051373	FATZ binding
GO:0051377	mannose-ethanolamine phosphotransferase activity
GO:0051378	serotonin binding
GO:0051379	epinephrine binding
GO:0051380	norepinephrine binding
GO:0051381	histamine binding
GO:0051392	tRNA N-acetyltransferase activity
GO:0051393	alpha-actinin binding
GO:0051397	obsolete N-terminal basic amino acid aminopeptidase activity
GO:0051398	obsolete N-terminal lysine aminopeptidase activity
GO:0051399	obsolete N-terminal arginine aminopeptidase activity
GO:0051400	BH domain binding
GO:0051401	CH domain binding
GO:0051404	obsolete clostripain activity
GO:0051405	obsolete microbial collagenase activity
GO:0051407	glycerone phosphate:inorganic phosphate antiporter activity
GO:0051408	glyceraldehyde 3-phosphate:inorganic phosphate antiporter activity
GO:0051411	obsolete ALP binding
GO:0051416	obsolete myotilin binding
GO:0051419	obsolete nebulin binding
GO:0051420	obsolete nebulette binding
GO:0051424	corticotropin-releasing hormone binding
GO:0051425	PTB domain binding
GO:0051427	hormone receptor binding
GO:0051428	peptide hormone receptor binding
GO:0051429	corticotropin-releasing hormone receptor binding
GO:0051430	corticotropin-releasing hormone receptor 1 binding
GO:0051431	corticotropin-releasing hormone receptor 2 binding
GO:0051432	BH1 domain binding
GO:0051433	BH2 domain binding
GO:0051434	BH3 domain binding
GO:0051435	BH4 domain binding
GO:0051448	gonadotropin-releasing hormone binding
GO:0051449	thyrotropin-releasing hormone binding
GO:0051471	ectoine transmembrane transporter activity
GO:0051474	glucosylglycerol transmembrane transporter activity
GO:0051477	mannosylglycerate transmembrane transporter activity
GO:0051498	syn-copalyl diphosphate synthase activity
GO:0051499	D-aminoacyl-tRNA deacylase activity
GO:0051500	D-tyrosyl-tRNA(Tyr) deacylase activity
GO:0051505	cholesterol UDP-glucosyltransferase activity
GO:0051506	ergosterol UDP-glucosyltransferase activity
GO:0051507	beta-sitosterol UDP-glucosyltransferase activity
GO:0051508	stigmasterol UDP-glucosyltransferase activity
GO:0051509	tomatidine UDP-glucosyltransferase activity
GO:0051525	NFAT protein binding
GO:0051536	iron-sulfur cluster binding
GO:0051537	2 iron, 2 sulfur cluster binding
GO:0051538	3 iron, 4 sulfur cluster binding
GO:0051539	4 iron, 4 sulfur cluster binding
GO:0051540	metal cluster binding
GO:0051566	anthocyanidin-3-glucoside rhamnosyltransferase activity
GO:0051575	5'-deoxyribose-5-phosphate lyase activity
GO:0051635	obsolete bacterial cell surface binding
GO:0051636	obsolete Gram-negative bacterial cell surface binding
GO:0051637	obsolete Gram-positive bacterial cell surface binding
GO:0051669	fructan beta-fructosidase activity
GO:0051670	inulinase activity
GO:0051675	isopullulanase activity
GO:0051698	saccharopine oxidase activity
GO:0051699	proline oxidase activity
GO:0051700	fructosyl-amino acid oxidase activity
GO:0051717	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity
GO:0051718	DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates
GO:0051719	DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates
GO:0051720	DNA (cytosine-5-)-methyltransferase activity, acting on CpNpG substrates
GO:0051721	protein phosphatase 2A binding
GO:0051722	protein C-terminal methylesterase activity
GO:0051723	protein methylesterase activity
GO:0051724	NAD transmembrane transporter activity
GO:0051730	GTP-dependent polyribonucleotide 5'-hydroxyl-kinase activity
GO:0051731	polynucleotide 5'-hydroxyl-kinase activity
GO:0051732	polyribonucleotide kinase activity
GO:0051733	polydeoxyribonucleotide kinase activity
GO:0051734	ATP-dependent polynucleotide kinase activity
GO:0051735	GTP-dependent polynucleotide kinase activity
GO:0051736	ATP-dependent polyribonucleotide 5'-hydroxyl-kinase activity
GO:0051737	GTP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity
GO:0051738	xanthophyll binding
GO:0051740	ethylene binding
GO:0051741	2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity
GO:0051742	2-methyl-6-solanyl-1,4-benzoquinone methyltransferase activity
GO:0051743	red chlorophyll catabolite reductase activity
GO:0051744	3,8-divinyl protochlorophyllide a 8-vinyl reductase activity
GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
GO:0051746	thalianol synthase activity
GO:0051747	cytosine C-5 DNA demethylase activity
GO:0051748	UTP-monosaccharide-1-phosphate uridylyltransferase activity
GO:0051749	indole acetic acid carboxyl methyltransferase activity
GO:0051750	delta3,5-delta2,4-dienoyl-CoA isomerase activity
GO:0051751	alpha-1,4-mannosyltransferase activity
GO:0051752	phosphoglucan, water dikinase activity
GO:0051753	mannan synthase activity
GO:0051765	inositol tetrakisphosphate kinase activity
GO:0051766	inositol trisphosphate kinase activity
GO:0051777	ent-kaurenoate oxidase activity
GO:0051778	ent-7-alpha-hydroxykaurenoate oxidase activity
GO:0051779	gibberellin 12-aldehyde oxidase activity
GO:0051786	all-trans-retinol 13,14-reductase activity
GO:0051787	misfolded protein binding
GO:0051800	phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity
GO:0051861	glycolipid binding
GO:0051864	histone demethylase activity (H3-K36 specific)
GO:0051870	methotrexate binding
GO:0051871	dihydrofolic acid binding
GO:0051879	Hsp90 protein binding
GO:0051880	G-quadruplex DNA binding
GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase activity
GO:0051907	S-(hydroxymethyl)glutathione synthase activity
GO:0051908	double-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0051909	acetylenecarboxylate hydratase activity, producing 3-hydroxypropenoate
GO:0051911	Methanosarcina-phenazine hydrogenase activity
GO:0051912	CoB--CoM heterodisulfide reductase activity
GO:0051916	granulocyte colony-stimulating factor binding
GO:0051920	peroxiredoxin activity
GO:0051921	adenosylcobyric acid synthase (glutamine-hydrolyzing) activity
GO:0051922	cholesterol sulfotransferase activity
GO:0051959	dynein light intermediate chain binding
GO:0051978	lysophospholipid transporter activity
GO:0051980	iron-nicotianamine transmembrane transporter activity
GO:0051981	copper chelate transmembrane transporter activity
GO:0051982	copper-nicotianamine transmembrane transporter activity
GO:0051989	coproporphyrinogen dehydrogenase activity
GO:0051990	(R)-2-hydroxyglutarate dehydrogenase activity
GO:0051991	UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity
GO:0051992	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity
GO:0051993	abscisic acid glucose ester beta-glucosidase activity
GO:0051994	P-methyltransferase activity
GO:0051995	Se-methyltransferase activity
GO:0051996	squalene synthase activity
GO:0051997	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity
GO:0051998	protein carboxyl O-methyltransferase activity
GO:0052381	tRNA dimethylallyltransferase activity
GO:0052577	germacrene-D synthase activity
GO:0052578	alpha-farnesene synthase activity
GO:0052579	(+)-pulegone reductase, (+)-isomenthone as substrate, activity
GO:0052580	(+)-pulegone reductase, (-)-menthone as substrate, activity
GO:0052581	(-)-isopiperitenone reductase activity
GO:0052582	(+)-menthofuran synthase activity
GO:0052583	oxidoreductase activity, acting on halogen in donors
GO:0052584	oxidoreductase activity, acting on halogen in donors, with NAD or NADP as acceptor
GO:0052585	oxidoreductase activity, acting on the CH-NH2 group of donors, with a quinone or similar compound as acceptor
GO:0052586	oxidoreductase activity, acting on other nitrogenous compounds as donors, with a quinone or similar compound as acceptor
GO:0052587	diacetyl reductase ((R)-acetoin forming) activity
GO:0052588	diacetyl reductase ((S)-acetoin forming) activity
GO:0052589	malate dehydrogenase (menaquinone) activity
GO:0052590	sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity
GO:0052591	sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
GO:0052592	oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor
GO:0052593	tryptamine:oxygen oxidoreductase (deaminating) activity
GO:0052594	aminoacetone:oxygen oxidoreductase(deaminating) activity
GO:0052595	aliphatic-amine oxidase activity
GO:0052596	phenethylamine:oxygen oxidoreductase (deaminating) activity
GO:0052597	diamine oxidase activity
GO:0052598	histamine oxidase activity
GO:0052599	methylputrescine oxidase activity
GO:0052600	propane-1,3-diamine oxidase activity
GO:0052601	(S)-limonene 1,2-monooxygenase activity
GO:0052602	4-chloronitrobenzene nitroreductase activity
GO:0052603	1-chloro-4-nitrosobenzene nitroreductase activity
GO:0052604	delta-tocopherol cyclase activity
GO:0052605	gamma-tocopherol cyclase activity
GO:0052606	chlorophyllide a oxygenase activity
GO:0052607	7-hydroxy-chlorophyllide a oxygenase activity
GO:0052608	echinenone 3-hydroxylase activity
GO:0052609	4-ketotorulene 3-hydroxylase activity
GO:0052610	beta-cryptoxanthin hydroxylase activity
GO:0052611	beta-carotene 3-hydroxylase activity
GO:0052612	adonirubin 3-hydroxylase activity
GO:0052613	canthaxanthin 3-hydroxylase activity
GO:0052614	uracil oxygenase activity
GO:0052615	ent-kaurene oxidase activity
GO:0052616	ent-kaur-16-en-19-ol oxidase activity
GO:0052617	ent-kaur-16-en-19-al oxidase activity
GO:0052618	coenzyme F420-0:L-glutamate ligase activity
GO:0052619	coenzyme F420-1:gamma-L-glutamate ligase activity
GO:0052620	thymine dehydrogenase activity
GO:0052621	diguanylate cyclase activity
GO:0052622	ATP dimethylallyltransferase activity
GO:0052623	ADP dimethylallyltransferase activity
GO:0052624	2-phytyl-1,4-naphthoquinone methyltransferase activity
GO:0052625	4-aminobenzoate amino acid synthetase activity
GO:0052626	benzoate amino acid synthetase activity
GO:0052627	vanillate amino acid synthetase activity
GO:0052628	4-hydroxybenzoate amino acid synthetase activity
GO:0052629	phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity
GO:0052630	UDP-N-acetylgalactosamine diphosphorylase activity
GO:0052631	sphingolipid delta-8 desaturase activity
GO:0052633	isocitrate hydro-lyase (cis-aconitate-forming) activity
GO:0052634	C-19 gibberellin 2-beta-dioxygenase activity
GO:0052635	C-20 gibberellin 2-beta-dioxygenase activity
GO:0052636	arabinosyltransferase activity
GO:0052637	delta 3-trans-hexadecenoic acid phosphatidylglycerol desaturase activity
GO:0052638	indole-3-butyrate beta-glucosyltransferase activity
GO:0052639	salicylic acid glucosyltransferase (ester-forming) activity
GO:0052640	salicylic acid glucosyltransferase (glucoside-forming) activity
GO:0052641	benzoic acid glucosyltransferase activity
GO:0052642	lysophosphatidic acid phosphatase activity
GO:0052650	NADP-retinol dehydrogenase activity
GO:0052654	L-leucine transaminase activity
GO:0052655	L-valine transaminase activity
GO:0052656	L-isoleucine transaminase activity
GO:0052657	guanine phosphoribosyltransferase activity
GO:0052658	inositol-1,4,5-trisphosphate 5-phosphatase activity
GO:0052659	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity
GO:0052660	R-lactaldehyde reductase activity
GO:0052661	S-lactaldehyde reductase activity
GO:0052662	zeaxanthin epoxidase activity
GO:0052663	antheraxanthin epoxidase activity
GO:0052664	nitroalkane oxidase activity
GO:0052665	tRNA (uracil-2'-O-)-methyltransferase activity
GO:0052666	tRNA (cytosine-2'-O-)-methyltransferase activity
GO:0052667	phosphomethylethanolamine N-methyltransferase activity
GO:0052668	farnesol kinase activity
GO:0052669	CTP:2-trans,-6-trans-farnesol kinase activity
GO:0052670	geraniol kinase activity
GO:0052671	geranylgeraniol kinase activity
GO:0052672	CTP:geranylgeraniol kinase activity
GO:0052673	prenol kinase activity
GO:0052674	ent-pimara-9(11),15-diene synthase activity
GO:0052675	3-methylbutanol:NADP oxidoreductase activity
GO:0052676	3-methylbutanol:NAD oxidoreductase activity
GO:0052677	D-arabinitol dehydrogenase, D-xylulose forming (NADP+) activity
GO:0052678	levopimaradiene synthase activity
GO:0052679	terpentetriene synthase activity
GO:0052680	epi-isozizaene synthase activity
GO:0052681	alpha-bisabolene synthase activity
GO:0052682	epi-cedrol synthase activity
GO:0052683	(Z)-gamma-bisabolene synthase activity
GO:0052684	L-serine hydro-lyase (adding indole, L-tryptophan-forming) activity
GO:0052687	(3R)-3-isopropenyl-6-oxoheptanoate:CoA ligase (ADP-forming) activity
GO:0052688	(3R)-3-isopropenyl-6-oxoheptanoate:CoA ligase (AMP-forming) activity
GO:0052689	carboxylic ester hydrolase activity
GO:0052690	trichloro-p-hydroquinone reductive dehalogenase activity
GO:0052691	UDP-arabinopyranose mutase activity
GO:0052692	raffinose alpha-galactosidase activity
GO:0052693	epoxyqueuosine reductase activity
GO:0052694	jasmonoyl-isoleucine-12-hydroxylase activity
GO:0052705	methylhistidine N-methyltransferase activity
GO:0052706	histidine N-methyltransferase activity
GO:0052712	inositol phosphosphingolipid phospholipase activity
GO:0052713	inositol phosphorylceramide phospholipase activity
GO:0052714	mannosyl-inositol phosphorylceramide phospholipase activity
GO:0052715	mannosyl-diinositol phosphorylceramide phospholipase activity
GO:0052716	hydroquinone:oxygen oxidoreductase activity
GO:0052717	tRNA-specific adenosine-34 deaminase activity
GO:0052719	apurinic/apyrimidinic endoribonuclease activity
GO:0052720	class II DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0052722	fatty acid in-chain hydroxylase activity
GO:0052723	inositol hexakisphosphate 1-kinase activity
GO:0052724	inositol hexakisphosphate 3-kinase activity
GO:0052725	inositol-1,3,4-trisphosphate 6-kinase activity
GO:0052726	inositol-1,3,4-trisphosphate 5-kinase activity
GO:0052727	capsanthin synthase activity
GO:0052728	capsorubin synthase activity
GO:0052729	dimethylglycine N-methyltransferase activity
GO:0052730	sarcosine N-methyltransferase activity
GO:0052731	phosphocholine phosphatase activity
GO:0052732	phosphoethanolamine phosphatase activity
GO:0052733	quinate 3-dehydrogenase (NADP+) activity
GO:0052734	shikimate 3-dehydrogenase (NAD+) activity
GO:0052735	tRNA (cytosine-3-)-methyltransferase activity
GO:0052736	beta-glucanase activity
GO:0052737	pyruvate dehydrogenase (quinone) activity
GO:0052738	oxidoreductase activity, acting on the aldehyde or oxo group of donors, with a quinone or similar compound as acceptor
GO:0052739	phosphatidylserine 1-acylhydrolase activity
GO:0052740	1-acyl-2-lysophosphatidylserine acylhydrolase activity
GO:0052741	(R)-limonene 6-monooxygenase activity
GO:0052742	phosphatidylinositol kinase activity
GO:0052743	inositol tetrakisphosphate phosphatase activity
GO:0052744	phosphatidylinositol monophosphate phosphatase activity
GO:0052745	inositol phosphate phosphatase activity
GO:0052747	sinapyl alcohol dehydrogenase activity
GO:0052748	baicalin beta-D-glucuronidase activity
GO:0052749	glucose-6-phosphate dehydrogenase (coenzyme F420) activity
GO:0052750	reactive-black-5:hydrogen-peroxide oxidoreductase activity
GO:0052751	GDP-mannose hydrolase activity
GO:0052752	reduced coenzyme F420:heterodisulfide oxidoreductase activity
GO:0052753	propan-2-ol:coenzyme F420 oxidoreductase activity
GO:0052754	GTP:coenzyme F420 guanyltransferase activity
GO:0052755	reduced coenzyme F420:quinone oxidoreductase activity
GO:0052756	chitobiose phosphorylase activity
GO:0052757	chondroitin hydrolase activity
GO:0052758	coenzyme F420-dependent 2,4,6-trinitrophenol reductase activity
GO:0052759	coenzyme F420-dependent 2,4,6-trinitrophenol hydride reductase activity
GO:0052760	coenzyme F420-dependent 2,4-dinitrophenol reductase activity
GO:0052761	exo-1,4-beta-D-glucosaminidase activity
GO:0052762	gellan lyase activity
GO:0052763	ulvan lyase activity
GO:0052764	exo-oligoalginate lyase activity
GO:0052765	reduced coenzyme F420 oxidase activity
GO:0052766	mannoside alpha-1,4-mannosidase activity
GO:0052767	mannosyl-oligosaccharide 1,6-alpha-mannosidase activity
GO:0052768	mannosyl-oligosaccharide 1,3-alpha-mannosidase activity
GO:0052769	beta-6-sulfate-N-acetylglucosaminidase activity
GO:0052770	coenzyme F390-A hydrolase activity
GO:0052771	coenzyme F390-G hydrolase activity
GO:0052772	brefeldin A esterase activity
GO:0052773	diacetylchitobiose deacetylase activity
GO:0052774	glucosyl-N-acetylglucosamine glucosaminidase activity
GO:0052775	endo-1,3-alpha-L-rhamnosidase activity
GO:0052788	d-4,5 unsaturated beta-glucuronyl hydrolase activity
GO:0052789	mannan 1,3-beta-mannosidase activity
GO:0052790	chitooligosaccharide deacetylase activity
GO:0052791	3-deoxy-D-glycero-D-galacto-2-nonulosonic acid hydrolase activity
GO:0052792	endo-xylogalacturonan hydrolase activity
GO:0052793	pectin acetylesterase activity
GO:0052794	exo-alpha-(2->3)-sialidase activity
GO:0052795	exo-alpha-(2->6)-sialidase activity
GO:0052796	exo-alpha-(2->8)-sialidase activity
GO:0052797	4-O-methyl-glucuronoyl methylesterase activity
GO:0052798	beta-galactoside alpha-2,3-sialyltransferase activity
GO:0052806	sulfite reductase (coenzyme F420) activity
GO:0052807	aflatoxin reductase (coenzyme F420) activity
GO:0052808	reduced coenzyme F420:NADP+ oxidoreductase activity
GO:0052809	acharan sulfate lyase activity
GO:0052810	1-phosphatidylinositol-5-kinase activity
GO:0052811	1-phosphatidylinositol-3-phosphate 4-kinase activity
GO:0052812	phosphatidylinositol-3,4-bisphosphate 5-kinase activity
GO:0052813	phosphatidylinositol bisphosphate kinase activity
GO:0052814	medium-chain-aldehyde dehydrogenase activity
GO:0052815	medium-chain acyl-CoA hydrolase activity
GO:0052816	long-chain acyl-CoA hydrolase activity
GO:0052817	very long chain acyl-CoA hydrolase activity
GO:0052818	heteroglycan 3-alpha-mannosyltransferase activity
GO:0052819	heteroglycan 2-alpha-mannosyltransferase activity
GO:0052820	DNA-1,N6-ethenoadenine N-glycosylase activity
GO:0052821	DNA-7-methyladenine glycosylase activity
GO:0052822	DNA-3-methylguanine glycosylase activity
GO:0052823	2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity
GO:0052824	dolichyl-pyrophosphate Man7GlcNAc2 alpha-1,6-mannosyltransferase activity
GO:0052825	inositol-1,3,4,5,6-pentakisphosphate 1-phosphatase activity
GO:0052826	inositol hexakisphosphate 2-phosphatase activity
GO:0052827	inositol pentakisphosphate phosphatase activity
GO:0052828	inositol-3,4-bisphosphate 4-phosphatase activity
GO:0052829	inositol-1,3,4-trisphosphate 1-phosphatase activity
GO:0052830	inositol-1,3,4,6-tetrakisphosphate 6-phosphatase activity
GO:0052831	inositol-1,3,4,6-tetrakisphosphate 1-phosphatase activity
GO:0052832	inositol monophosphate 3-phosphatase activity
GO:0052833	inositol monophosphate 4-phosphatase activity
GO:0052834	inositol monophosphate phosphatase activity
GO:0052835	inositol-3,4,6-trisphosphate 1-kinase activity
GO:0052836	inositol 5-diphosphate pentakisphosphate 5-kinase activity
GO:0052839	inositol diphosphate tetrakisphosphate kinase activity
GO:0052840	inositol diphosphate tetrakisphosphate diphosphatase activity
GO:0052841	inositol bisdiphosphate tetrakisphosphate diphosphatase activity
GO:0052842	inositol diphosphate pentakisphosphate diphosphatase activity
GO:0052843	inositol-1-diphosphate-2,3,4,5,6-pentakisphosphate diphosphatase activity
GO:0052844	inositol-3-diphosphate-1,2,4,5,6-pentakisphosphate diphosphatase activity
GO:0052845	inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity
GO:0052846	inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 1-diphosphatase activity
GO:0052847	inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity
GO:0052848	inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity
GO:0052849	NADPH-dependent curcumin reductase activity
GO:0052850	NADPH-dependent dihydrocurcumin reductase activity
GO:0052851	ferric-chelate reductase (NADPH) activity
GO:0052852	very-long-chain-(S)-2-hydroxy-acid oxidase activity
GO:0052853	long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity
GO:0052854	medium-chain-(S)-2-hydroxy-acid oxidase activity
GO:0052855	ADP-dependent NAD(P)H-hydrate dehydratase activity
GO:0052856	NADHX epimerase activity
GO:0052857	NADPHX epimerase activity
GO:0052858	peptidyl-lysine acetyltransferase activity
GO:0052859	glucan endo-1,4-beta-glucosidase activity
GO:0052860	2'-deoxymugineic-acid 3-dioxygenase activity
GO:0052861	glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group
GO:0052862	glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group
GO:0052866	phosphatidylinositol phosphate phosphatase activity
GO:0052867	phosphatidylinositol-1,4,5-trisphosphate 5-phosphatase activity
GO:0052868	protein-lysine lysyltransferase activity
GO:0052869	arachidonic acid omega-hydroxylase activity
GO:0052870	tocopherol omega-hydroxylase activity
GO:0052871	alpha-tocopherol omega-hydroxylase activity
GO:0052872	tocotrienol omega-hydroxylase activity
GO:0052873	FMN reductase (NADPH) activity
GO:0052874	FMN reductase (NADH) activity
GO:0052875	riboflavin reductase (NADH) activity
GO:0052876	methylamine dehydrogenase (amicyanin) activity
GO:0052877	oxidoreductase activity, acting on the CH-NH2 group of donors, with a copper protein as acceptor
GO:0052878	linoleate 8R-lipoxygenase activity
GO:0052879	9,12-octadecadienoate 8-hydroperoxide 8S-isomerase activity
GO:0052880	oxidoreductase activity, acting on diphenols and related substances as donors, with copper protein as acceptor
GO:0052881	4-hydroxyphenylacetate 3-monooxygenase activity
GO:0052882	oxidoreductase activity, acting on phosphorus or arsenic in donors, with a copper protein as acceptor
GO:0052883	tyrosine ammonia-lyase activity
GO:0052884	all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity
GO:0052885	all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity
GO:0052886	9,9'-dicis-carotene:quinone oxidoreductase activity
GO:0052887	7,9,9'-tricis-neurosporene:quinone oxidoreductase activity
GO:0052888	obsolete OBSOLETE:dihydroorotate oxidase (fumarate) activity
GO:0052890	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor
GO:0052891	aliphatic (S)-hydroxynitrile lyase activity
GO:0052892	aromatic (S)-hydroxynitrile lyase activity
GO:0052893	N1-acetylspermine:oxygen oxidoreductase (propane-1,3-diamine-forming) activity
GO:0052894	norspermine:oxygen oxidoreductase activity
GO:0052895	N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity
GO:0052896	spermidine oxidase (propane-1,3-diamine-forming) activity
GO:0052897	N8-acetylspermidine:oxygen oxidoreductase (propane-1,3-diamine-forming) activity
GO:0052898	N1-acetylspermidine:oxygen oxidoreductase (propane-1,3-diamine-forming) activity
GO:0052899	N(1),N(12)-diacetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity
GO:0052900	spermine oxidase (propane-1,3-diamine-forming) activity
GO:0052901	spermine:oxygen oxidoreductase (spermidine-forming) activity
GO:0052902	spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity
GO:0052903	N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity
GO:0052904	N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity
GO:0052905	tRNA (guanine(9)-N(1))-methyltransferase activity
GO:0052906	tRNA (guanine(37)-N(1))-methyltransferase activity
GO:0052907	23S rRNA (adenine(1618)-N(6))-methyltransferase activity
GO:0052908	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity
GO:0052909	18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity
GO:0052910	23S rRNA (adenine(2085)-N(6))-dimethyltransferase activity
GO:0052911	23S rRNA (guanine(745)-N(1))-methyltransferase activity
GO:0052912	23S rRNA (guanine(748)-N(1))-methyltransferase activity
GO:0052913	16S rRNA (guanine(966)-N(2))-methyltransferase activity
GO:0052914	16S rRNA (guanine(1207)-N(2))-methyltransferase activity
GO:0052915	23S rRNA (guanine(2445)-N(2))-methyltransferase activity
GO:0052916	23S rRNA (guanine(1835)-N(2))-methyltransferase activity
GO:0052917	dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity
GO:0052918	dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity
GO:0052919	aliphatic (R)-hydroxynitrile lyase activity
GO:0052920	(2R)-2-hydroxy-2-methylbutanenitrile lyase activity
GO:0052921	acetone-cyanohydrin acetone-lyase (cyanide-forming) activity
GO:0052922	hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity
GO:0052923	all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity
GO:0052924	all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity
GO:0052925	dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity
GO:0052926	dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity
GO:0052927	CTP:tRNA cytidylyltransferase activity
GO:0052928	CTP:3'-cytidine-tRNA cytidylyltransferase activity
GO:0052929	ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity
GO:0052930	methanol ferricytochrome-c oxidoreductase activity
GO:0052931	ethanol cytochrome-c oxidoreductase activity
GO:0052932	2-chloroethanol cytochrome-c oxidoreductase activity
GO:0052933	alcohol dehydrogenase (cytochrome c(L)) activity
GO:0052934	alcohol dehydrogenase (cytochrome c) activity
GO:0052935	ethanol:cytochrome c oxidoreductase activity
GO:0052936	2-chloroethanol:cytochrome c oxidoreductase activity
GO:0055041	cyclopentanol dehydrogenase activity
GO:0055042	5-valerolactone hydrolase activity
GO:0055043	5-oxovalerate dehydrogenase activity
GO:0055053	mannose:proton symporter activity
GO:0055054	fructose:proton symporter activity
GO:0055055	D-glucose:proton symporter activity
GO:0055056	D-glucose transmembrane transporter activity
GO:0055077	gap junction hemi-channel activity
GO:0055100	adiponectin binding
GO:0055101	obsolete glycerophospholipase inhibitor activity
GO:0055102	lipase inhibitor activity
GO:0055103	ligase regulator activity
GO:0055104	ligase inhibitor activity
GO:0055105	ubiquitin-protein transferase inhibitor activity
GO:0055106	ubiquitin-protein transferase regulator activity
GO:0055131	C3HC4-type RING finger domain binding
GO:0060001	minus-end directed microfilament motor activity
GO:0060002	plus-end directed microfilament motor activity
GO:0060072	large conductance calcium-activated potassium channel activity
GO:0060089	molecular transducer activity
GO:0060090	molecular adaptor activity
GO:0060175	brain-derived neurotrophic factor-activated receptor activity
GO:0060182	apelin receptor activity
GO:0060228	phosphatidylcholine-sterol O-acyltransferase activator activity
GO:0060229	lipase activator activity
GO:0060230	lipoprotein lipase activator activity
GO:0060241	lysozyme inhibitor activity
GO:0060308	GTP cyclohydrolase I regulator activity
GO:0060422	peptidyl-dipeptidase inhibitor activity
